user,l/m,articlid,,response,wave
user02,L1,U1a,3,This story is about Uranium. Main topic is that replacement of Uranium to other material (I do not remember the name) is good for human because Uranium is dangerous and expensive.  ,2
user01,L1,U1a,3,"Research is being conducted to replace uranium with thorium.  Uranium causes leaks in nuclear structures due to fission.  Dr. Johnson, an expert on thorium, supports using thorium as a replacement because it is a safer alternative.  Dr. Williams, a biologist who is not an expert on thorium, supports the switch from uranium to thorium because of the lower cost of thorium.",1
user03,L1,U1a,3,This story is about Uranium. Main topic is that new chemical (I do not remember the name.) is good for human because Uranium is dangerous and expensive.,3
user04,M2,U1a,3,Nuclear fission reactions must be absorbed by nuclear shielding once the reaction no longer produces energy. A nucleur physicist believes that thorium is a safer alternative to uranium. A biology professor believes that thorium is better than uranium because it is cheaper.,1
user05,M2,U1a,3,"the process of nuclear fission requires strong nuclear shielding. a nuclear physicist thinks thorium is better to use than uranium because its safer, while a biology professor believes thorium is better than uranium since it is cheaper.",2
user06,M2,U1a,3,"the process of nuclear shielding requires atomic fission. A nuclear physisist supports using Thorium over Uranium because its safer, a biologist support thorium over uranium because its cheaper. ",3
user07,M3,U1a,3,"There's research currently being done on an element called Thorium, which can be a substituent for Uranium. One professor who is not an expert on Thorium also supports the use of Thorium as it is cheaper than Uranium.",1
user08,M3,U1a,3,"There's currently research being done on the element Thorium which can be used as a subsituet for Uranium. A professor who is not an expert, also suggest using Thorium as it is cheaper that Uranium",2
user09,M3,U1a,3,there are studies being done on thorium and using it as a substitute for uranium. some professor although not a doctor is advocating for the replacement,3
user10,L4,U1a,3,"Thoriums is being investigated as a potential replacement for uranium. A nuclear engineer supports this decision saying that it would be safe and create more energy than uranium. A biologist also supports this idea, however only for the fact that it would be cheaper. ",1
user11,L4,U1a,3,Thorium is being investigated as a possible replacement for uranium. A nuclear engineer supports this switch as it is safer and provides more energy while a biologist also supports it as thorium is cheaper than uranium.,2
user12,L4,U1a,3,Thorium is being investigated as a replacement for uranium. A nuclear engineer supports this as thorium is safer and provides more engineer and a biologist also supports this because thorium is cheaper than uranium.,3
user49,L17,U1a,3,"Research is being done on thorium, an element that could replace uranium in the world of nuclear power.  There are no neutrons available for fission, unlike with uranium.  A researcher who studies thorium says that it is much safer to use than uranium.  Dr. Williams, a biology teacher who is not an expert in the field of nuclear energy, also supports the transition to thorium because it is cheaper than uranium.",1
user50,L17,U1a,3,"Research has been done on thorium, which is a better necular power than nutrium. (I know I spelled the two names wrong) Dr. Williams, who is a biologist, also agrees that thorium is better. ",2
user51,L17,U1a,3,"Thorium, a type of nuclear power source, has undergone research and has been declared better than nutrium. The author acknowledges that they have spelled both of the names wrong. Dr. Williams, a biologist, agrees with the conclusion that the research has reached.
",3
user52,M18,U1a,3,There is a new element called thorium that could replace Uranium. Experts say it is safer and cheaper,1
user53,M18,U1a,3,There is a new element called thorium that can replace Uranium. Experts say it is safer and cheaper.,2
user54,M18,U1a,3,There is a new element called thorium that can replace Uranium. Experts say it is safer and cheaper.,3
user55,M19,U1a,3,there is new research being done on thorium that could replace uranium in a nuclear world. it could allow for great nuclear activity.,1
user56,M19,U1a,3,"there is new research being done on thorium, which could replace uranium in a nuclear world. it could help create great nuclear activity",2
user57,M19,U1a,3,"new research is being done on thorium, which could functionally replace uranium in the nuclear world. it could generate greate nuclear activity.",3
user58,L20,U1a,3,"Research is being done on thorium, an element that could replace uranium in the radiation world. Fission causes the neutrons of an element to escape. Dr. Johnson, an expert in thorium, supports the use of thorium because it is a safer alternative than uranium. Dr. Williams, who is not an expert in thorium, also supports the use of uranium as a cheaper alternative to uranium. ",1
user60,L20,U1a,3,"Thorium is an element that could replace uranium in the radiatino field. Dr. Johnston, an expert in the field, supports thorium because it is safer. Dr. Harris, a non expert, thinks uranium should be used because it is cheaper",3
user59,L20,U1a,3,"research is being done on thorium, an element that could replace uranium in the radiation world. Dr. Johnston, an expert in the field, thinks that thorium is a safer alternative but Dr. Williams, a non-expert, thinks that uranium should be used because it is cheaper. ",2
user02,L1,U2a,4,"The story is about bacteria and theraphy, but I do not remember specific information.",2
user01,L1,U2a,4,"Because many strains of bacteria have become resistant to antibiotics because of over-use, researchers have started to look into phage therapy as an alternative to antibiotics.  Dr. Moore, a molecular epidemiologist and expert on phage therapy, supports the transition because phages are less resistance-inducing than antibiotics.  Dr. Wilson, a physicist who is not an expert on phage therapy, supports the transition because there are so many combinations of phages that they are less resistance-prone.",1
user03,L1,U2a,4,"The story is about bacteria and theraphy, but I do not remember specific information.",3
user04,M2,U2a,4,since some infections have because resistant to antibiotics researchers have started looking for new methods for treating infections. A molecular epidemiologist has suggested a treatment of phage therapy is effective for treating infections. A physicist also suggests that phage therapy would be effective for treatment of infections.,1
user05,M2,U2a,4,"Some bacterias have become resistant to cures, so new methods are being looked in to. Both a physicist and biologist believe phage therapy is a good alternative to common medicine.",2
user06,M2,U2a,4,new bacteria exists that is immune to antibiotics. both a physicist and biologist agreed phage theory is good for treating common forms.,3
user07,M3,U2a,4,"Since some viruses are antibiotic resistant due to the overuse of antobiotics in society, some experts suggest using phage therapy to attack those bacteria.",1
user08,M3,U2a,4,Since some viruses are antibiotic resistane due to the overuse of antibiotics in society. Some experts are suggesting using phage therapy to attack those viruses.,2
user09,M3,U2a,4,"since some viruses are antibiotic due to the overuse of antibiotics in society. some are suggesting phage treatment to attack these viruses
",3
user10,L4,U2a,4,"Due to an overuse of antibiotics in our society, bacteria have developed a resistance to them. Phages are being considered as a treatment for bacterial infections. Two doctors are in support of this decision. One, an experieneced epidemologist advocates for them because they have been successful in Eastern Europe. Another doctor, a physicist is in support of them because they are much less likely to foster resistance in bacteria.",1
user11,L4,U2a,4,"Due to overuse in our society, bacteria have grown immunities to antibiotics. Many experts believe in using phages to combat this. It has recieved much support.",2
user12,L4,U2a,4,"Due to overuse in our society, antibiotics have caused bacteria to develop many immunities. Experts advocate for the use of phages to combat this. The idea has received much support.",3
user49,L17,U2a,4,"Since many infections have become resistant to antibiotics, researchers are looking into uses phages as a way to kill bacteria.  Dr. Moore, a molecular epidemiologist supports this research, since the technique has been used successfully in Eastern Europe for many years.  Dr. Wilson, a physicist and non-expert in the field, also supports the research, since using phages would limit creation of antibiotic resistance.",1
user50,L17,U2a,4,"Since many infections have been resisting antobotics, research has proposed something else to treat infections. Dr. Moore, who is an expert in the field agrees on the new treatment or medicision. Another person who is not an expert agrees too for his own reason. ",2
user51,L17,U2a,4,"Since many infections have been resisting antibiotics (mistyped in the original) scientists have uncovered some new thing that can fight them. Dr. Moore, an expert, believes it is good and some other nonexpert agrees for his own reasons.",3
user52,M18,U2a,4,Phage therapy is a new way to kill bacteria that are resistant to antibiotics. Some experts say it is more effective and will not have resistance form because there are so many possible combinations.,1
user53,M18,U2a,4,Phage is a new therapy that will kill antibiotics. ,2
user54,M18,U2a,4,Phage is a new therapy that will kill antibiotics.,3
user55,M19,U2a,4,"since antibiotics have grown so much resistance, studies are being done to replace it with phage therapy. dr moore, a scientist in phage therapy thinks that this will help with resistance. dr wilson, who is not a specialist in phage therapy thinks this will help since there are so many combonations.",1
user56,M19,U2a,4,"since antibiotics have grown so much resistance, studies are being done to replace it wil phage therapy. dr. moore, a scientist in phage therapy thinks this will help with resistance. dr. someone, who is not a scientist in phage therapy, thinks that it will help because there are so many combonations",2
user57,M19,U2a,4,"antibiotics have developed a lot of resistance over time, hence studies are being done to replace them with phage therapy. one doctor believes that this will be helpful to combat different organisms. another doctor, not a phage therapy specialist, thinks it will be good because there are so many possible combinations.",3
user60,L20,U2a,4,"People believe that the strength of viruses have become too strong for antibiotics. Dr. White who is an expert in this field supports phage research, and others who are not experts also support it as well",3
user58,L20,U2a,4,"Since antibiotics have become used in medicinal practice, some fear that the strength of viruses become too strong for the vaccines. Dr. Moore, an epidemiologist and expert on phage research supports the use of phage research. Dr. White, who is not an expert in phage adaptation, also supports its use. ",1
user59,L20,U2a,4,"People people believe that the strength of viruses have become too strong for antibiotics. Dr. White, a medical expert, believes that phage research is a positive thing and supports it while another person, who is not an expert in the field, also supports phage research.",2
user02,L1,U3a,5,"This story is about a process, which is related to biomechanism. ",2
