article_id, text, id, l/m, wave, subj_id, user_id, q1, q2, q3, q4, q5, q6, q7, q8, q9, q10, q11, q12
"U2a", "Since many infections have become resistant to antibiotics, researchers are looking into uses phages as a way to kill bacteria.  Dr. Moore, a molecular epidemiologist supports this research, since the technique has been used successfully in Eastern Europe for many years.  Dr. Wilson, a physicist and non-expert in the field, also supports the research, since using phages would limit creation of antibiotic resistance.", "424", "L17", "1", "user49", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"U2a", "since antibiotics have grown so much resistance, studies are being done to replace it with phage therapy. dr moore, a scientist in phage therapy thinks that this will help with resistance. dr wilson, who is not a specialist in phage therapy thinks this will help since there are so many combonations.", "430", "M19", "1", "user55", "2", "4", "2", "0", "0", "0", "0", "1", "1", "0", "0", "0", "0"
"U1a", "Research is being done on thorium, an element that could replace uranium in the world of nuclear power.  There are no neutrons available for fission, unlike with uranium.  A researcher who studies thorium says that it is much safer to use than uranium.  Dr. Williams, a biology teacher who is not an expert in the field of nuclear energy, also supports the transition to thorium because it is cheaper than uranium.", "436", "L17", "1", "user49", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"U1a", "There is a new element called thorium that can replace Uranium. Experts say it is safer and cheaper.", "441", "M18", "3", "user54", "2", "4", "2", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0"
"U1a", "there is new research being done on thorium that could replace uranium in a nuclear world. it could allow for great nuclear activity.", "442", "M19", "1", "user55", "2", "4", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"U2a", "since antibiotics have grown so much resistance, studies are being done to replace it wil phage therapy. dr. moore, a scientist in phage therapy thinks this will help with resistance. dr. someone, who is not a scientist in phage therapy, thinks that it will help because there are so many combonations", "431", "M19", "2", "user56", "2", "4", "2", "0", "0", "0", "0", "1", "1", "0", "0", "0", "0"
"U2a", "Since many infections have been resisting antobotics, research has proposed something else to treat infections. Dr. Moore, who is an expert in the field agrees on the new treatment or medicision. Another person who is not an expert agrees too for his own reason. ", "425", "L17", "2", "user50", "2", "3", "2", "0", "0", "0", "1", "1", "1", "0", "0", "1", "1"
"U3a", "Bioremediation is a process that can clean up soil using organisms. There are two doctors that each support using this technique. One doctor, a biologist supports this idea because it is an effective way to clean soil. Another doctor, a chemist supports this idea because it will be cheap to do.", "457", "L4", "1", "user10", "2", "4", "2", "2", "0", "0", "0", "1", "2", "0", "0", "0", "1"
"U1a", "This story is about Uranium. Main topic is that replacement of Uranium to other material (I do not remember the name) is good for human because Uranium is dangerous and expensive.  ", "136", "L1", "2", "user02", "1", "3", "1", "2", "1", "1", "0", "0", "3", "2", "2", "2", "2"
"U1a", "Research is being conducted to replace uranium with thorium.  Uranium causes leaks in nuclear structures due to fission.  Dr. Johnson, an expert on thorium, supports using thorium as a replacement because it is a safer alternative.  Dr. Williams, a biologist who is not an expert on thorium, supports the switch from uranium to thorium because of the lower cost of thorium.", "137", "L1", "1", "user01", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"U1a", "Research is being done on thorium, an element that could replace uranium in the radiation world. Fission causes the neutrons of an element to escape. Dr. Johnson, an expert in thorium, supports the use of thorium because it is a safer alternative than uranium. Dr. Williams, who is not an expert in thorium, also supports the use of uranium as a cheaper alternative to uranium. ", "445", "L20", "1", "user58", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"U1a", "This story is about Uranium. Main topic is that new chemical (I do not remember the name.) is good for human because Uranium is dangerous and expensive.", "138", "L1", "3", "user03", "1", "1", "1", "2", "0", "0", "0", "0", "3", "2", "2", "2", "2"
"F2h", "a stem cell is a generic cell that can make copies of itself indefinitely", "411", "M16", "3", "user48", "1", "4", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"U1a", "Thorium is being investigated as a possible replacement for uranium. A nuclear engineer supports this switch as it is safer and provides more energy while a biologist also supports it as thorium is cheaper than uranium.", "146", "L4", "2", "user11", "1", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "0", "0"
"U2a", "The story is about bacteria and theraphy, but I do not remember specific information.", "148", "L1", "2", "user02", "1", "1", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"F1b", "A type of corn is being developed. Its genes are modified and are different from mixing two kinds of crops. An expert in the field believes that this technology will help reduce world hunger problem. An non-expert also believes it is good for a different reason (I can't recall). 
", "461", "M17", "2", "user50", "2", "1", "2", "0", "0", "0", "0", "0", "1", "0", "1", "1", "1"
"U3a", "This story is about a process, which is related to biomechanism. ", "160", "L1", "2", "user02", "1", "1", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"F3b", "This story is about mumps, which is caused by a virus. An expert said that it is a good idea to have flu the first year, and after that to have flu the second year to prevent mumps.", "198", "M1", "3", "user03", "1", "1", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"U1a", "research is being done on thorium, an element that could replace uranium in the radiation world. Dr. Johnston, an expert in the field, thinks that thorium is a safer alternative but Dr. Williams, a non-expert, thinks that uranium should be used because it is cheaper. ", "447", "L20", "2", "user59", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "1", "0", "1"
"F1b", "GMOS are genetically modified organisms that are developed beyond natural means of reproduction. This can occur in plant, bacteria, or virus. Dr. Lewis supports GM research. Dr.Hall is against GM research as it may influence the natural occuring biodiversity. ", "469", "M20", "1", "user58", "2", "4", "2", "2", "0", "0", "1", "1", "2", "0", "0", "0", "0"
"F2b", "A stem cell is a type of cell that can divide and make infinite copies of itself.  These cells can go on to form parts of the heart, muscle, and other tissues/organs.  Dr. King, a geneticist, advocates for using stem cell research, as it may help scientists understand why some cells divide abnormally in diseases such as cancer.  Dr. Harris, a chemist and non-expert in the field, believes that misuse of stem cells could actually lead to cancer.", "472", "M17", "1", "user49", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "1"
"U2a", "Because many strains of bacteria have become resistant to antibiotics because of over-use, researchers have started to look into phage therapy as an alternative to antibiotics.  Dr. Moore, a molecular epidemiologist and expert on phage therapy, supports the transition because phages are less resistance-inducing than antibiotics.  Dr. Wilson, a physicist who is not an expert on phage therapy, supports the transition because there are so many combinations of phages that they are less resistance-prone.", "149", "L1", "1", "user01", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
