user,l/m,article id,participant id,wave
user02,L1,U1a,This story is about Uranium. Main topic is that replacement of Uranium to other material (I do not remember the name) is good for human because Uranium is dangerous and expensive.  ,2
user01,L1,U1a,"Research is being conducted to replace uranium with thorium.  Uranium causes leaks in nuclear structures due to fission.  Dr. Johnson, an expert on thorium, supports using thorium as a replacement because it is a safer alternative.  Dr. Williams, a biologist who is not an expert on thorium, supports the switch from uranium to thorium because of the lower cost of thorium.",1
user03,L1,U1a,This story is about Uranium. Main topic is that new chemical (I do not remember the name.) is good for human because Uranium is dangerous and expensive.,3
user02,L1,U2a,"The story is about bacteria and theraphy, but I do not remember specific information.",2
user01,L1,U2a,"Because many strains of bacteria have become resistant to antibiotics because of over-use, researchers have started to look into phage therapy as an alternative to antibiotics.  Dr. Moore, a molecular epidemiologist and expert on phage therapy, supports the transition because phages are less resistance-inducing than antibiotics.  Dr. Wilson, a physicist who is not an expert on phage therapy, supports the transition because there are so many combinations of phages that they are less resistance-prone.",1
user03,L1,U2a,"The story is about bacteria and theraphy, but I do not remember specific information.",3
user02,L1,U3a,"This story is about a process, which is related to biomechanism. ",2
user01,L1,U3a,"Bioremediation is a process of using biological material to remedy pollution.  It is used to clean rainwater runoff, oil spills, and other contaminant-driven damage.   It consists of using microbes to process and digest contaminants to render them harmless to humans.  Dr. Moore, a biologist who is an expert on bioremediation, supports the practice because it uses natural organisms to process contaminants and render them harmless to humans.  Dr. Wilson, a chemist who is not an expert on bioremediation, supports the practice because it is often a very quick way to clean up contaminants.",1
user03,L1,U3a,"This story is about a process, which is related to biomechanism.",3
user02,M1,F1b,This story is about GMOs. It indicated an expert' s opinion that support an idea. But I do not remember specific topic.,2
user01,M1,F1b,"Genetically modified organisms (GMOs) are organisms that are created that are not possible through natural means of reproduction or recombinance.  The genetic material may come from animals, bacteria, or plants.  Dr. Harris,  a crop ecologist and expert on GMOs, supports the practice as a solution to the world's food shortage problem.  Dr. Hall, a virologist who is not an expert on GMOs, does not support the practice because GMOs may be harmful to natural organisms and may lead to lower levels of biodiversity.",1
user03,M1,F1b,This story is about GMOs. It contained an expert 's opinion to support an idea. But I do not remember specific topic.,3
user02,M1,F2b,"The story is about a stem cell, which might be useful to treat some health problem such as heart. An expert of the area support the possibility. ",2
user01,M1,F2b,"A stem cell is a type of cell that can replicate itself indefinitely.  They are used in the growth of specialty tissue, such as for the heart, muscle, and brain tissues.  Dr. King, a biologist who is an expert on stem cells, supports the use of stem cells to help regrow damaged tissue in patients.  Dr Harris, on the other hand, is a chemist and not an expert on stem cells, and says that stem cells can easily grow tumors because they start out as un-specialized cells.",1
user03,M1,F2b,"The story is about a stem cell, which might be useful to treat some problems such as heart. An expert suggests its possibility.",3
user02,M1,F3b,"The story is about mumps, which is caused by a virus. An expert said that it is a good strategy that children have a flu within first year, and after that they have a second flu in order to prevent the mumps. ",2
user01,M1,F3b,"Mumps is a contagious disease caused by the mumps virus.  it can be prevented with the MMR vaccine, which stands for measles, mumps and rubella.  a child recieves two MMR doses- the first at one-year old and the second at four-years old.  Dr. White, a virologist and expert on MMR vaccines say they are effective in preventing these dangerous diseases. Dr. Moore, an ecologist who is not an expert on vaccines, is against the use of vaccines, because the risks, such as severe allergic reactions, far outweigh the benefits.",1
user03,M1,F3b,"This story is about mumps, which is caused by a virus. An expert said that it is a good idea to have flu the first year, and after that to have flu the second year to prevent mumps.",3
user13,L5,U1c,"Thorium is an alternative to uranium. However, they must be contained with a special science shield because the neutrons no longer engage in fission once they are out of their field. A nonexpert says they're dangerous.",1
user14,L5,U1c,Two metals can be used in fission. Some scientist think that they need a shield because it would be dangerous in some scenario.,2
user15,L5,U1c,Two metals can be combined in fission. ,3
user13,L5,U2c,"As people and bacteria become antibiotic resistant, there is a push for new treatment. Phage treatments look promising, however Dr. Moore, an expert on phages, thinks they could create dangerous biotoxins and Dr. Wilson, a physicist, finds the treatments inaccesible via cost and availability of specific treatments (opposed to the broad coverage antibiotics offer).",1
user14,L5,U2c,"Antibiotic treatment has been facing increasing resistance, and people are looking for an alternative. Phage treatment looks good but one doctor said it is too costly, while another doctor thinks it is not accessible. ",2
user15,L5,U2c,Antibiotic resistance has been increasing and people are looking for alternative treatments. Phage treatments look promising but one doctor said it's too costly and another said it is not accessible.,3
user13,L5,U3c,"Bioremediation uses microbes to clean environments. However, an expert in the field says their use may create more toxic byproducts. A non-expert opposes their usage because it's difficult to control where microbes go.",1
user14,L5,U3c,Microbes are used to clean the environment. Some expects said it is toxic for the environment while some non-experts said otherwise because it is difficult to control where microbes go.,2
